TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Los,6,6,,,NAME,Boston,The home team is the Boston Celtics.
S001,1,2,Wednesday,18,18,,,NAME,Friday,The game was played on Friday.
S001,1,3,107,12,12,,,NUMBER,101,"The Lakers scored 101, not 107."
S001,2,1,32,4,4,,,NUMBER,31,The Celtics' win-loss record was 31-18.
S001,2,2,Friday,30,30,,,NAME,Thursday,"The game was played on Thursday, not Friday."
S001,2,3,30,35,35,,,NUMBER,29,The Celtics' win over the Lakers was by 29 points.
S001,1,4,Lakers,8,8,,,NAME,Celtics,"The Celtics were the visiting team, not the Lakers."
S001,2,5,17,43,43,,,NUMBER,18,The Lakers' win-loss record was 18-36.
S001,3,1,38,9,9,,,NUMBER,points,The sentence is missing the word 'points'.
S001,4,1,11,8,8,,,NUMBER,8,"Al Horford accumulated 8 rebounds, not 11."
S001,4,2,eight,11,11,,,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists."
S001,4,3,eight,11,11,,,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists."
S001,4,4,block,18,18,,,WORD,,Al Horford did not block any shots.
S001,2,1,18,6,6,,,NUMBER,12,"Jae Crowder's double-double included 12 rebounds, not 18."
S001,5,2,12,11,11,,,NUMBER,assist,"Jae Crowder's double-double included an assist, not 12 rebounds."
S001,4,3,block,18,18,,,WORD,blocks,"Jae Crowder's double-double included blocks, not a block."
S001,2,1,18,6,6,,,NUMBER,6,"Jae Crowder had 6 rebounds, not 18."
S001,5,2,assist,21,21,,,WORD,assists,"The correct verb is 'assists', not 'assist'."
S001,6,3,pair,16,16,,,WORD,pairs,"The correct noun is 'pairs', not 'pair'."
S001,5,1,Jae,1,1,,,NAME,Jaylen,The correct name of the player is Jaylen Brown.
S001,5,2,Crowder,2,2,,,NAME,Brown,The correct name of the player is Jaylen Brown.
S001,3,3,was,3,3,,,WORD,was not,"The sentence should indicate that Brown was not playing, but rather was injured or absent."
S001,5,4,next,4,4,,,WORD,leading scorer,The sentence should indicate that Brown was the leading scorer.
S001,2,5,18,6,6,,,NUMBER,12,"Brown scored 12 points, not 18."
S001,3,6,six,16,16,,,NUMBER,three,"Brown had three rebounds, not six."
S001,5,7,an,20,20,,,WORD,no,Brown did not have an assist.
S001,3,8,two,19,19,,,NUMBER,no,Brown did not have two steals.
S001,4,1,11,8,8,,,NUMBER,8,"Al Horford accumulated 8 rebounds, not 11."
S001,4,2,eight,11,11,,,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists."
S001,4,3,eight,11,11,,,NUMBER,eight,"The number is correct, but the context is incorrect because Al Horford accumulated 8 rebounds, not 8 assists."
S001,4,4,block,18,18,,,WORD,,There is no information about Al Horford blocking a shot in the provided data.
S001,9,1,Kelly,1,1,,,NAME,Kelly Olynyk,The correct name of the player is Kelly Olynyk.
S001,9,2,Olynyk,2,2,,,NAME,Olynyk,The correct spelling of the player's last name is Olynyk.
S001,3,3,led,4,4,,,WORD,led the team,The sentence should specify that Olynyk led the second unit.
S001,1,4,the,5,5,,,WORD,their,"The correct word is 'their', not 'the'."
S001,9,5,second,5,5,,,WORD,bench,"The correct word is 'bench', not'second'."
S001,9,6,unit,6,6,,,WORD,team,"The correct word is 'team', not 'unit'."
S001,2,7,with,33,33,,,WORD,as,"The correct word is 'as', not 'with'."
S001,9,8,10,8,8,,,NUMBER,9,"Olynyk scored 9 points, not 10."
S001,9,9,nine,11,11,,,NUMBER,eight,"Olynyk had eight rebounds, not nine."
S001,3,10,two,19,19,,,NUMBER,one,"Olynyk had one assist, not two."
S001,2,11,a,13,13,,,WORD,no,"Olynyk did not have a pair of steals, but rather one steal."
