TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,six,16,16,,,NUMBER,five,"The sentence states Isaiah Thomas had six assists, but the box score shows he had five."
S001,2,1,18,6,6,,,NUMBER,12,The number of points for Jae Crowder is incorrect.
S001,5,2,12,11,11,,,NUMBER,6,The number of rebounds for Jae Crowder is incorrect.
S001,9,1,nine,11,11,,,NUMBER,7,"Olynyk had 7 rebounds, not 9."
S001,1,1,Wednesday,18,18,,,NAME,Friday,"The game is scheduled for Friday, not Wednesday."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland Cavaliers,The sentence incorrectly states the losing team as the Atlanta Hawks instead of the Cleveland Cavaliers.
S002,1,2,Saturday,18,18,,,NAME,Tuesday,The day of the game is incorrectly stated as Saturday instead of Tuesday.
S002,1,3,110 - 110,9,11,,,NUMBER,110-106,The final score is incorrectly stated as 110-110 instead of 110-106.
S002,2,1,struggling,6,6,,,WORD,successful,"The teams are described as undefeated and successful, not struggling."
S002,4,1,19,20,20,,,NUMBER,21,"The Cavaliers recorded 21 assists, not 19."
S002,5,1,three,11,11,,,NUMBER,two,The Hawks have won two of their last five games according to the box score.
S002,6,1,17,13,13,,,NUMBER,9,"Howard had 9 rebounds, not 17."
S002,7,1,25,9,9,,,NUMBER,24,"Kevin Love scored 24 points, not 25."
S002,11,1,23,16,16,,,NUMBER,24,"Kevin Love scored 24 points, not 23."
S002,12,1,second,4,4,,,NUMBER,first,"Kyrie Irving scored the most points, making him first on the team, not second."
S002,13,1,11,13,13,,,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S003,1,1,Saturday,17,17,,,NAME,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,Friday,32,32,,,NAME,Sunday,"The game was played on Sunday, not Friday."
S003,3,1,steal,29,29,,,WORD,,The box score does not show DeMar DeRozan recording a steal.
S003,4,1,10 - assist,13,15,,,NUMBER,3,"Kyle Lowry had 3 assists, not 10."
S003,5,1,block and a block,24,27,,,NUMBER,a block,"Valanciunas recorded only one block, not three."
S003,7,1,Terrence Ross,1,2,,,NAME,DeMar DeRozan,"DeMar DeRozan was highlighted as the player of the game, not Terrence Ross."
S003,10,1,Elfrid Payton,7,8,,,NAME,Nikola Vucevic,Nikola Vucevic led the team in scoring according to the box score.
S003,5,1,13,11,11,,,NUMBER,10,"Elfrid Payton had 10 rebounds, not 13."
S003,7,1,11,12,12,,,NUMBER,0,DJ Augustin did not score 11 points according to the box score.
S004,1,1,Vivint Smart Home,16,18,,,NAME,,The arena is not mentioned in the box score data.
